,TCGA-DD-A11D-01A-11R-A131-07,TCGA-DD-AACT-01A-11R-A41C-07,TCGA-G3-AAUZ-01A-11R-A38B-07,TCGA-EP-A26S-11A-12R-A16W-07
ENSG00000047621,177,242,184,232
ENSG00000047634,353,365,611,507
ENSG00000047644,362,207,345,398
ENSG00000047648,56,28,48,45
ENSG00000047662,3,5,1,5
ENSG00000047849,4355,2579,3865,3561
ENSG00000047932,625,626,362,988
ENSG00000047936,29,6,0,2
ENSG00000048028,324,269,385,524
ENSG00000048052,14,21,43,96
ENSG00000048140,1273,1606,1311,992
ENSG00000048162,262,634,806,523
ENSG00000048342,26,40,57,136
ENSG00000048392,445,743,1440,1093
ENSG00000048405,467,434,235,486
ENSG00000048462,0,6,11,17
ENSG00000048471,228,191,229,403
ENSG00000048540,6,0,18,12
ENSG00000048544,798,1276,864,1675
ENSG00000048545,18,2,0,0
ENSG00000048649,581,317,304,844
ENSG00000048707,739,890,950,2143
ENSG00000048740,76,143,150,289
ENSG00000048828,4258,2906,3076,5815
ENSG00000048991,353,255,323,321
ENSG00000049089,18,7,36,27
ENSG00000049130,78,41,102,167
ENSG00000049167,116,55,108,161
ENSG00000049192,5,5,5,9
ENSG00000049239,8069,6136,8687,13900
ENSG00000049245,742,1205,1606,2286
ENSG00000049246,270,356,434,1451
ENSG00000049247,0,12,16,1
ENSG00000049249,3,15,28,9
ENSG00000049283,0,3,3,3
ENSG00000049323,1631,113,255,1436
ENSG00000049449,1175,1273,2788,2725
ENSG00000049540,234,803,873,953
ENSG00000049541,893,553,1285,645
ENSG00000049618,920,682,625,941
ENSG00000049656,7453,5169,3867,5376
ENSG00000049759,1007,839,2046,966
ENSG00000049768,17,88,43,49
ENSG00000049769,58,56,73,143
ENSG00000049860,8809,4577,3279,5333
ENSG00000049883,237,97,157,446
ENSG00000050030,1,1,0,5
ENSG00000050130,662,836,623,898
ENSG00000050165,249,420,361,589
ENSG00000050327,373,407,490,265
ENSG00000050344,52,143,88,51
ENSG00000050393,533,601,1091,1060
ENSG00000050405,581,481,321,663
ENSG00000050426,848,787,1151,1979
ENSG00000050438,5,4,7,6
ENSG00000050555,499,634,756,915
ENSG00000050628,19,7,14,13
ENSG00000050730,147,0,3,0
ENSG00000050748,804,1326,544,889
ENSG00000050767,5,69,32,14
ENSG00000050820,1710,1608,1132,1798
ENSG00000051009,1304,585,861,1241
ENSG00000051108,3152,9523,2100,7707
ENSG00000051128,164,170,441,148
ENSG00000051180,14,38,204,13
ENSG00000051341,24,25,72,1
ENSG00000051382,627,532,502,737
ENSG00000051523,183,632,1468,1378
ENSG00000051596,137,345,354,170
ENSG00000051620,2129,3019,2517,2882
ENSG00000051825,90,167,105,370
ENSG00000052126,584,349,386,701
ENSG00000052344,4,0,1953,1771
ENSG00000052723,482,389,693,894
ENSG00000052749,848,379,728,444
ENSG00000052795,1659,403,1947,5136
ENSG00000052802,9677,6053,21092,15042
ENSG00000052841,1905,1233,913,2767
ENSG00000052850,0,0,0,0
ENSG00000053108,7,72,0,1
ENSG00000053254,1327,1141,1140,2444
ENSG00000053328,4,6,0,11
ENSG00000053371,573,1339,3101,2959
ENSG00000053372,235,514,1265,838
ENSG00000053438,5,12,0,1
ENSG00000053501,497,742,1268,1124
ENSG00000053524,139,17,3,3
ENSG00000053702,73,40,59,48
ENSG00000053747,288,120,351,54
ENSG00000053770,884,490,448,1153
ENSG00000053900,247,286,286,293
ENSG00000053918,93,86,109,166
ENSG00000054116,894,950,1901,1496
ENSG00000054118,2507,1551,1768,3279
ENSG00000054148,1211,1433,5089,1411
ENSG00000054179,187,65,192,15
ENSG00000054219,19,16,73,51
ENSG00000054267,663,976,389,554
ENSG00000054277,263,497,58,434
ENSG00000054282,271,1253,240,488
ENSG00000054356,0,0,1,0
ENSG00000054392,368,252,98,212
ENSG00000054523,604,782,1214,2540
ENSG00000054598,243,32,70,93
ENSG00000054611,1349,687,1148,1036
ENSG00000054654,1189,1098,1003,1288
ENSG00000054690,140,76,64,31
ENSG00000054793,1708,1255,276,1570
ENSG00000054796,0,0,0,0
ENSG00000054803,0,4,0,19
